term,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9
(Intercept),8.233*** (2.231),1.327 (2.859),0.462 (3.768),-0.436 (3.127),-0.786 (3.181),0.488 (3.189),-1.289 (3.106),-0.216 (3.267),-0.647 (3.380)
lh,0.467 (0.430),0.596 (0.395),0.554 (0.414),0.602 (0.341),0.645 (0.350),0.557 (0.336),0.619 (0.345),0.396 (0.358),0.420 (0.361)
la,NA,0.782*** (0.223),0.773*** (0.223),0.603*** (0.168),0.617*** (0.169),0.510** (0.179),0.447* (0.179),0.393* (0.174),0.379* (0.181)
lf,NA,NA,0.137 (0.398),-0.131 (0.302),-0.142 (0.300),-0.114 (0.303),0.042 (0.276),0.061 (0.292),0.096 (0.298)
lt,NA,NA,NA,1.215*** (0.185),1.218*** (0.183),1.196*** (0.183),1.206*** (0.182),1.287*** (0.190),1.260*** (0.191)
ba1,NA,NA,NA,NA,0.206 (0.419),NA,NA,NA,NA
dowMonday,NA,NA,NA,NA,NA,NA,NA,-0.123 (0.821),0.026 (0.873)
dowSaturday,NA,NA,NA,NA,NA,NA,NA,1.165 (0.788),1.486 (0.831)
dowSunday,NA,NA,NA,NA,NA,NA,NA,-0.300 (0.729),-0.109 (0.728)
dowThursday,NA,NA,NA,NA,NA,NA,NA,0.251 (0.713),0.464 (0.722)
dowTuesday,NA,NA,NA,NA,NA,NA,NA,-0.244 (0.697),-0.075 (0.700)
dowWednesday,NA,NA,NA,NA,NA,NA,NA,0.124 (0.653),0.297 (0.660)
prop_grpCommercial,NA,NA,NA,NA,NA,0.188 (0.598),0.222 (0.548),0.213 (0.535),0.083 (0.543)
prop_grpInstitutional,NA,NA,NA,NA,NA,1.596 (1.656),1.477 (1.567),1.441 (1.531),1.859 (1.569)
prop_grpOutbuilding,NA,NA,NA,NA,NA,-0.963 (0.621),-1.067 (0.588),-1.362* (0.616),-1.306* (0.661)
seasonFall,NA,NA,NA,NA,NA,NA,NA,NA,-0.170 (0.432)
seasonSpring,NA,NA,NA,NA,NA,NA,NA,NA,-0.326 (0.508)
seasonSummer,NA,NA,NA,NA,NA,NA,NA,NA,0.325 (0.533)
todDawn,NA,NA,NA,NA,NA,NA,1.660** (0.604),1.629** (0.617),1.796** (0.657)
todEvening,NA,NA,NA,NA,NA,NA,-0.479 (0.608),-0.540 (0.651),-0.312 (0.686)
todLunch Time,NA,NA,NA,NA,NA,NA,0.480 (0.729),0.329 (0.743),0.462 (0.780)
todMorning,NA,NA,NA,NA,NA,NA,0.433 (0.563),0.593 (0.594),0.699 (0.594)
todNight,NA,NA,NA,NA,NA,NA,0.707 (0.569),0.788 (0.613),0.802 (0.623)
